DATA COMMUNICATION & NETWORKING,1,3,1,FOROUZAN ,CS001,5TH ,1226,MCGREW,now(),0000-00-00 00:00:00
DATA COMMUNICATION & NETWORKING,1,3,1,FOROUZAN ,CS002,4TH,1136,MCGREW,now(),0000-00-00 00:00:00
DATA COMMUNICATION & NETWORKING,1,3,1,WOIDJAJA,CS008,2ND 2004,900,MCGREW,now(),0000-00-00 00:00:00
 COMMUNICATION & NETWORKINS,1,5,1,WOIDJAJA,CS009,2ND 2004,900,MCGREW,now(),0000-00-00 00:00:00
COMMUNICATION & NETWORKINS,1,5,1,WOIDJAJA,CS010,2ND 2004,900,MCGREW,now(),0000-00-00 00:00:00
 COMMUNICATION & NETWORKINS,1,5,1,WOIDJAJA,CS012,2ND ,900,MCGREW,now(),0000-00-00 00:00:00
COMPUTER & NETWORK COMMUNICATIONS,1,5,1,NADER F.MIR,CS013,4TH,417,PEARSON,now(),0000-00-00 00:00:00
COMPUTER NETWORKS,1,5,1,LARRYL PETERSON,CS015,5TH ,884,M K,now(),0000-00-00 00:00:00
INTRODUCTION TO DATA COMMUNICATION AND NETWORKING ,1,3,1,WAYNEL THOMASI,CS016,6TH ,985,PEARSON,now(),0000-00-00 00:00:00
COMPUTER NETWORKS,1,5,1,ANDREW S TAMENBAUM,CS018,4TH,891,PEARSON,now(),0000-00-00 00:00:00
COMPUTER NETWORKS,1,5,1,LARRYL PETERSON,CS019,5TH ,584,M K,now(),0000-00-00 00:00:00
COMPUTER NETWORKS,1,5,1,LARRYL PETERSON,CS020,5TH ,884,MK,now(),0000-00-00 00:00:00
COMPUTER NETWORKING,1,5,1,JEMES F.KUROSE,CS021,5TH ,888,PEARSON,now(),0000-00-00 00:00:00
COMPUTER NETWORK-II,1,5,1,T.G BASAVARAU,CS022,1ST,331,ECONOMY,now(),0000-00-00 00:00:00
COMPUTER NETWORK-II,1,5,1,N .MALATHI RAGHURAM,CS023,1ST,,PROFESSONAL,now(),0000-00-00 00:00:00
COMPUTER NETWORK-II,1,5,1,V S BAGAD,CS024,1ST,,TECHNICAL,now(),0000-00-00 00:00:00
COMPUTER NETWORK-II,1,5,1,BHARATH BHUSHAN AGARWAL,CS025,1ST,246,UNIVERSITY SCIENCE PRESS,now(),0000-00-00 00:00:00
NETWORKS MANAGEMENT PRINCIPLES & PRACTICE,1,5,1,MANI SUBRAMANIAM,CS026,1ST,662,PEARSON,now(),0000-00-00 00:00:00
DATA COMPUTER COMMUNICATION ,1,5,1,VILLIAN STALLINGS,CS027,8TH,834,PEARSON,now(),0000-00-00 00:00:00
 DATA COMMUNICATION NETWORKING,1,3,1,FOROUZAN ,CS029,5TH ,1226,MCGREW,now(),0000-00-00 00:00:00
WIRELESS COMMUNICATION AND NETWORKING,1,5,1,WILLIAM STALLINGS,CS030,2ND,598,PEARSON,now(),0000-00-00 00:00:00
 DATA COMMUNICATION NETWORKING,1,3,1,FOROUZAN ,CS031,3RD,973,MCGREW,now(),0000-00-00 00:00:00
NETWORKS MANAGEMENT PRINCIPLES & PRACTICE,1,5,1,THE ORDER S RAPPAPORT,CS032,2ND,707,EASTERN ECONOMY,now(),0000-00-00 00:00:00
NETWORKS SECURITY ESSENTIALS APPLICATION AND STANDARDS,1,5,1,WILLIAM STALLINGS,CS033,`4TH,417,PEARSON,now(),0000-00-00 00:00:00
DIGITAL COMMUNICATIN ,1,3,1,SIMON HAYKIN,CS035,1ST,597,WILLEY INDIA,now(),0000-00-00 00:00:00
WIRLESS DIGITAL COMMUNICATIN ,1,3,1,DR.KAMILO FEHER,CS036,1ST,524,ASHOK K GOSH,now(),0000-00-00 00:00:00
WIRELESS COMMUNICATION AND NETWORK,1,5,1,ITI SHAHA MISRA,CS037,2ND,551,MCGREW,now(),0000-00-00 00:00:00
ADHOC WIRELESS NETWORKS,1,5,1,OZAL K TONGUZ,CS038,1ST,330,WILLEY INDIA,now(),0000-00-00 00:00:00
CLIENT/SERVER COMPUTING,1,5,1,PATRIC SMITH,CS039,2ND,354,ASHOK K GOSH,now(),0000-00-00 00:00:00
DATA AND COMPUTER COMMNICATION,1,3,1,RACHANA SHARMA,CS040,1ST,136,UNIVERSITY SCIENCE PRESS,now(),0000-00-00 00:00:00
